iter	Passed	Remaining
0	152	152564
1	154	77018
2	155	51779
3	156	39069
4	157	31399
5	158	26269
6	159	22604
7	160	19857
8	160	17719
9	161	16008
10	162	14608
11	163	13444
12	164	12459
13	165	11630
14	166	10907
15	166	10266
16	167	9701
17	168	9203
18	169	8756
19	170	8350
20	171	7983
21	172	7648
22	172	7343
23	173	7064
24	174	6806
25	175	6567
26	176	6346
27	176	6139
28	177	5947
29	178	5768
30	179	5604
31	180	5447
32	180	5299
33	181	5161
34	182	5030
35	183	4913
36	184	4799
37	185	4689
38	186	4584
39	186	4482
40	187	4387
41	188	4297
42	189	4210
43	189	4127
44	190	4047
45	191	3973
46	192	3903
47	193	3836
48	194	3769
49	195	3705
50	195	3642
51	196	3586
52	197	3532
53	198	3478
54	199	3426
55	200	3375
56	201	3326
57	201	3279
58	202	3234
59	203	3191
60	204	3148
61	205	3108
62	206	3072
63	207	3038
64	208	3000
65	209	2963
66	210	2927
67	210	2887
68	211	2853
69	212	2822
70	213	2791
71	214	2760
72	214	2729
73	215	2699
74	216	2669
75	217	2640
76	217	2612
77	218	2585
78	219	2558
79	220	2533
80	221	2508
81	221	2484
82	222	2460
83	223	2436
84	223	2411
85	224	2388
86	225	2364
87	226	2342
88	226	2323
89	227	2303
90	228	2284
91	229	2265
92	230	2245
93	231	2226
94	231	2208
95	232	2190
96	233	2172
97	234	2154
98	234	2137
99	235	2121
100	236	2105
101	236	2086
102	237	2070
103	238	2055
104	239	2039
105	240	2024
106	240	2010
107	241	1995
108	242	1982
109	243	1969
110	244	1955
111	244	1941
112	245	1928
113	246	1915
114	247	1902
115	247	1888
116	248	1876
117	249	1866
118	250	1854
119	251	1843
120	252	1831
121	252	1820
122	253	1806
123	254	1794
124	254	1783
125	255	1772
126	256	1762
127	256	1750
128	257	1740
129	258	1730
130	259	1720
131	260	1710
132	260	1700
133	261	1690
134	262	1681
135	263	1671
136	264	1663
137	264	1653
138	265	1644
139	266	1635
140	266	1626
141	267	1617
142	268	1608
143	269	1600
144	270	1592
145	270	1583
146	271	1575
147	272	1567
148	273	1560
149	274	1552
150	274	1544
151	275	1537
152	276	1529
153	277	1522
154	277	1515
155	278	1508
156	279	1500
157	280	1493
158	281	1486
159	281	1479
160	282	1472
161	283	1465
162	284	1458
163	284	1452
164	285	1445
165	286	1438
166	287	1432
167	288	1426
168	288	1420
169	289	1414
170	290	1408
171	291	1401
172	292	1395
173	292	1390
174	293	1385
175	294	1380
176	295	1375
177	296	1370
178	297	1364
179	298	1360
180	299	1353
181	300	1348
182	300	1343
183	301	1338
184	302	1333
185	303	1329
186	304	1324
187	305	1319
188	306	1316
189	307	1312
190	308	1308
191	309	1303
192	310	1298
193	311	1293
194	312	1288
195	312	1283
196	313	1278
197	314	1273
198	315	1269
199	316	1264
200	316	1259
201	317	1254
202	318	1250
203	319	1245
204	319	1240
205	320	1236
206	321	1232
207	322	1228
208	323	1223
209	324	1219
210	324	1214
211	325	1210
212	326	1205
213	327	1201
214	327	1197
215	328	1192
216	329	1188
217	330	1184
218	330	1180
219	331	1176
220	332	1172
221	333	1168
222	334	1164
223	334	1159
224	335	1156
225	336	1152
226	337	1148
227	337	1144
228	338	1140
229	339	1136
230	340	1132
231	340	1128
232	341	1124
233	342	1120
234	343	1117
235	343	1113
236	344	1109
237	345	1105
238	346	1102
239	346	1098
240	347	1094
241	348	1091
242	349	1087
243	350	1085
244	351	1082
245	352	1079
246	353	1076
247	353	1073
248	354	1069
249	355	1066
250	356	1062
251	356	1059
252	357	1056
253	358	1052
254	359	1049
255	359	1045
256	360	1042
257	361	1039
258	362	1036
259	363	1033
260	364	1030
261	364	1027
262	365	1024
263	366	1021
264	367	1018
265	368	1015
266	368	1012
267	369	1009
268	370	1006
269	370	1003
270	371	999
271	372	996
272	373	993
273	373	990
274	374	987
275	375	985
276	376	982
277	377	979
278	377	976
279	379	974
280	380	972
281	381	970
282	381	967
283	382	965
284	383	962
285	384	960
286	385	957
287	386	955
288	387	953
289	388	951
290	389	948
291	390	946
292	391	943
293	391	941
294	393	939
295	394	937
296	394	934
297	395	932
298	396	929
299	397	927
300	398	924
301	398	921
302	399	919
303	400	916
304	401	914
305	401	911
306	402	909
307	403	906
308	404	903
309	404	901
310	405	898
311	406	896
312	407	894
313	408	892
314	409	889
315	409	887
316	410	884
317	411	882
318	412	879
319	412	877
320	413	874
321	414	872
322	415	869
323	415	867
324	416	865
325	417	862
326	418	860
327	418	858
328	419	855
329	420	853
330	421	851
331	422	849
332	423	847
333	424	845
334	424	843
335	425	841
336	426	838
337	427	836
338	428	834
339	428	832
340	429	830
341	430	827
342	431	825
343	431	823
344	432	821
345	433	819
346	434	817
347	435	815
348	435	813
349	436	810
350	437	808
351	438	806
352	439	804
353	439	802
354	440	800
355	441	798
356	441	796
357	442	793
358	443	791
359	444	789
360	445	787
361	445	785
362	446	783
363	447	781
364	448	779
365	448	777
366	449	775
367	450	773
368	451	772
369	452	770
370	453	768
371	453	766
372	454	764
373	455	762
374	456	760
375	457	758
376	457	756
377	458	754
378	459	752
379	460	750
380	461	749
381	461	747
382	462	745
383	463	743
384	464	741
385	465	739
386	465	738
387	466	736
388	467	734
389	468	733
390	469	731
391	470	729
392	471	727
393	472	726
394	472	724
395	473	722
396	474	721
397	475	719
398	476	717
399	477	715
400	477	713
401	478	712
402	479	710
403	480	708
404	481	707
405	482	705
406	483	703
407	483	702
408	484	700
409	485	698
410	486	696
411	486	694
412	487	692
413	488	691
414	489	689
415	489	687
416	490	685
417	491	683
418	492	682
419	492	680
420	493	678
421	494	677
422	495	675
423	496	673
424	496	672
425	497	670
426	498	668
427	499	667
428	500	665
429	500	663
430	501	662
431	502	660
432	503	658
433	503	657
434	504	655
435	505	653
436	506	652
437	506	650
438	507	649
439	508	647
440	509	645
441	510	644
442	511	642
443	512	641
444	513	639
445	514	638
446	514	636
447	515	635
448	516	633
449	517	632
450	517	630
451	518	628
452	519	627
453	520	625
454	520	623
455	521	622
456	522	621
457	523	619
458	524	618
459	526	617
460	527	616
461	528	614
462	528	613
463	529	611
464	530	610
465	531	608
466	532	607
467	532	605
468	533	604
469	534	602
470	535	600
471	535	599
472	536	597
473	537	596
474	538	594
475	538	593
476	539	591
477	540	590
478	541	588
479	542	587
480	543	586
481	543	584
482	544	583
483	545	581
484	546	579
485	546	578
486	547	576
487	548	575
488	549	573
489	550	572
490	550	571
491	551	569
492	552	568
493	553	566
494	554	565
495	554	563
496	555	562
497	556	560
498	556	559
499	557	557
500	558	556
501	559	554
502	559	553
503	560	551
504	561	549
505	561	548
506	562	546
507	562	545
508	563	543
509	564	541
510	564	540
511	565	539
512	566	537
513	566	536
514	567	534
515	568	532
516	568	531
517	569	529
518	569	528
519	570	526
520	571	525
521	571	523
522	572	522
523	573	520
524	573	519
525	574	517
526	575	516
527	575	514
528	576	513
529	576	511
530	577	510
531	578	508
532	578	506
533	579	505
534	580	504
535	580	502
536	581	501
537	582	500
538	582	498
539	583	497
540	584	495
541	584	494
542	585	492
543	585	491
544	586	489
545	587	488
546	587	486
547	588	485
548	589	483
549	589	482
550	590	481
551	590	479
552	591	478
553	592	476
554	592	475
555	593	473
556	594	472
557	594	471
558	595	469
559	596	468
560	596	466
561	597	465
562	597	464
563	598	462
564	598	461
565	599	459
566	600	458
567	600	456
568	601	455
569	602	454
570	602	452
571	603	451
572	604	450
573	604	448
574	605	447
575	605	446
576	606	444
577	607	443
578	607	442
579	608	440
580	609	439
581	609	437
582	610	436
583	611	435
584	611	433
585	612	432
586	612	431
587	613	429
588	614	428
589	614	427
590	615	425
591	616	424
592	616	423
593	617	422
594	618	420
595	619	419
596	619	418
597	620	417
598	621	415
599	621	414
600	622	413
601	623	412
602	623	410
603	624	409
604	625	408
605	626	407
606	626	405
607	627	404
608	628	403
609	628	402
610	629	400
611	630	399
612	630	398
613	631	396
614	631	395
615	632	394
616	633	393
617	634	391
618	634	390
619	635	389
620	636	388
621	636	387
622	637	385
623	638	384
624	638	383
625	639	382
626	640	380
627	640	379
628	641	378
629	641	377
630	642	375
631	643	374
632	643	373
633	644	372
634	645	370
635	645	369
636	646	368
637	647	367
638	647	365
639	648	364
640	649	363
641	649	362
642	650	361
643	651	359
644	651	358
645	652	357
646	654	356
647	655	355
648	655	354
649	656	353
650	657	352
651	657	351
652	658	349
653	658	348
654	659	347
655	660	346
656	660	345
657	661	343
658	662	342
659	662	341
660	663	340
661	664	339
662	664	337
663	665	336
664	666	335
665	666	334
666	667	333
667	668	332
668	668	330
669	669	329
670	670	328
671	670	327
672	671	326
673	672	325
674	672	323
675	673	322
676	674	321
677	674	320
678	675	319
679	676	318
680	677	317
681	677	316
682	678	314
683	679	313
684	679	312
685	680	311
686	681	310
687	681	309
688	682	308
689	683	306
690	683	305
691	684	304
692	685	303
693	685	302
694	686	301
695	687	300
696	687	299
697	688	297
698	689	296
699	689	295
700	690	294
701	691	293
702	692	292
703	693	291
704	693	290
705	694	289
706	694	287
707	695	286
708	696	285
709	696	284
710	697	283
711	698	282
712	698	281
713	699	280
714	700	279
715	700	277
716	701	276
717	701	275
718	702	274
719	703	273
720	703	272
721	704	271
722	705	270
723	706	269
724	706	268
725	707	267
726	708	265
727	708	264
728	709	263
729	710	262
730	710	261
731	711	260
732	712	259
733	712	258
734	713	257
735	713	256
736	714	254
737	715	253
738	715	252
739	716	251
740	717	250
741	717	249
742	718	248
743	718	247
744	719	246
745	720	245
746	721	244
747	721	243
748	722	242
749	723	241
750	723	239
751	724	238
752	725	237
753	725	236
754	726	235
755	726	234
756	727	233
757	728	232
758	728	231
759	729	230
760	730	229
761	730	228
762	731	227
763	732	226
764	732	225
765	733	223
766	733	222
767	734	221
768	735	220
769	735	219
770	736	218
771	737	217
772	738	216
773	739	215
774	739	214
775	740	213
776	741	212
777	742	211
778	742	210
779	743	209
780	744	208
781	744	207
782	745	206
783	746	205
784	746	204
785	747	203
786	748	202
787	748	201
788	750	200
789	750	199
790	751	198
791	752	197
792	752	196
793	753	195
794	754	194
795	754	193
796	755	192
797	756	191
798	756	190
799	757	189
800	758	188
801	758	187
802	759	186
803	759	185
804	760	184
805	761	183
806	762	182
807	762	181
808	763	180
809	764	179
810	765	178
811	765	177
812	766	176
813	767	175
814	767	174
815	768	173
816	769	172
817	769	171
818	770	170
819	770	169
820	771	168
821	772	167
822	772	166
823	773	165
824	774	164
825	774	163
826	775	162
827	776	161
828	777	160
829	777	159
830	780	158
831	781	157
832	782	156
833	783	155
834	783	154
835	784	153
836	785	152
837	785	151
838	786	150
839	787	149
840	788	148
841	788	148
842	789	147
843	790	146
844	790	145
845	791	144
846	792	143
847	793	142
848	794	141
849	794	140
850	795	139
851	796	138
852	796	137
853	797	136
854	797	135
855	798	134
856	799	133
857	799	132
858	800	131
859	801	130
860	801	129
861	802	128
862	803	127
863	804	126
864	804	125
865	805	124
866	806	123
867	806	122
868	807	121
869	808	120
870	809	119
871	809	118
872	810	117
873	811	116
874	812	116
875	812	115
876	813	114
877	814	113
878	814	112
879	815	111
880	816	110
881	816	109
882	817	108
883	818	107
884	819	106
885	819	105
886	820	104
887	821	103
888	822	102
889	823	101
890	824	100
891	825	99
892	826	98
893	826	98
894	827	97
895	828	96
896	828	95
897	829	94
898	830	93
899	831	92
900	832	91
901	832	90
902	833	89
903	834	88
904	834	87
905	835	86
906	836	85
907	837	84
908	838	83
909	839	83
910	840	82
911	841	81
912	842	80
913	843	79
914	843	78
915	844	77
916	845	76
917	846	75
918	846	74
919	847	73
920	848	72
921	848	71
922	849	70
923	850	69
924	851	69
925	852	68
926	853	67
927	853	66
928	854	65
929	855	64
930	856	63
931	857	62
932	857	61
933	858	60
934	859	59
935	859	58
936	860	57
937	861	56
938	862	56
